Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
Aion (AION),2017-10-02,2017-10-09,,,,,,,,,,,,,,,
Airtoken (AIR),2017-09-18,2017-10-09,,,,,,,,,,,,,,,
BeOne (B1),2017-08-27,2017-10-07,,,,,,,,,,,,,,,
ARNA Panacea: Presale (ARNA),2017-09-20,2017-10-06,,,,,,,,,,,,,,,
Texcoin (TEX),2017-09-29,2017-10-06,,,,,,,,,,,,,,,
FinShi Capital (FINS),2017-09-05,2017-10-05,,,,,,,,,,,,,,,
Bitpoker (CHIP),2017-09-04,2017-10-04,,,,,,,,,,,,,,,
Power Ledger (POWR),2017-09-07,2017-10-04,,,,,,,,,,,,,,,
Prymex Blockchain Antivirus (PRX),2017-09-27,2017-10-04,,,,,,,,,,,,,,,
Ammbr (AMMBR),2017-09-04,2017-10-03,,,,,,,,,,,,,,,
Umbrella Coin (UMC),2017-08-19,2017-10-03,,,,,,,,,,,,,,,
Viberate (VIB),2017-09-04,2017-10-03,,,,,,,,,,,,,,,
DinnerfulNetwork (MCD),2017-09-17,2017-10-02,,,,,,,,,,,,,,,
Maecenas (ART),2017-09-04,2017-10-02,,,,,,,,,,,,,,,
Tokenstub (STUB),2017-08-24,2017-10-02,,,,,,,,,,,,,,,
HelloGold (HGT),2017-08-27,2017-10-01,,,,,,,,,,,,,,,
Matrexa (MTRX),2017-09-16,2017-10-01,,,,,,,,,,,,,,,
SilverCoin (SVC),2017-06-20,2017-10-01,,,,,,,,,,,,,,,
Enjin Coin (ENJ),2017-08-31,2017-09-30,,,,,,,,,,,,,,,
Intellium (INTL),2017-07-20,2017-09-30,,,,,,,,,,,,,,,
Lust Agency (LUST),2017-08-17,2017-09-30,,,,,,,,,,,,,,,
STABLE (STB),2017-09-02,2017-09-30,,,,,,,,,,,,,,,
Zloadr (ZDR),,2017-08-31,,,,,,,,,,,,,,,
Monetha (MTH),2017-08-30,2017-09-29,,,,,,,,,,,,,,,
Musiconomi (MCI),2017-08-28,2017-09-29,,,,,,,,,,,,,,,
Native Currency (NATV),2017-08-31,2017-09-29,,,,,,,,,,,,,,,
Oxycoin (OXY),2017-08-31,2017-09-29,,,,,,,,,,,,,,,
REAL (REAL),2017-08-30,2017-09-29,,,,,,,,,,,,,,,
uooMAG (UMC),2017-08-31,2017-09-29,,,,,,,,,,,,,,,
KICKICO (KCX),2017-08-28,2017-09-28,,,,,,,,,,,,,,,
Cindicator (CND),2017-09-11,2017-09-27,,,,,,,,,,,,,,,
Solomon Exchange (SMNX),2017-08-27,2017-09-27,,,,,,,,,,,,,,,
Centra (CTR),2017-09-18,2017-09-24,,,,,,,,,,,,,,,
Kik (KIN),2017-09-11,2017-09-24,,,,,,,,,,,,,,,
Privateers.Life (LDM),2017-08-27,2017-09-24,,,,,,,,,,,,,,,
Modum.io (MOD),2017-08-31,2017-09-21,,,,,,,,,,,,,,,
Cloud Token (CLD),2017-07-24,2017-09-20,,,,,,,,,,,,,,,
HotelCoin (HTC),2017-08-20,2017-09-20,,,,,,,,,,,,,,,
ICON (ICX),2017-09-19,2017-09-19,,,,,,,,,,,,,,,
Smart Contract (SALES),2017-08-19,2017-09-18,,,,,,,,,,,,,,,
Streamr – presale (DATA),2017-09-11,2017-09-18,,,,,,,,,,,,,,,
KyberNetwork (KNC),2017-09-14,2017-09-16,,,,,,,,,,,,,,,
ATBcoin (ATB),2017-06-11,2017-09-14,,,,,,,,,,,,,,,
BitDice Casino (CSNO),2017-08-14,2017-09-14,,,,,,,,,,,,,,,
FaceCoin (FC),2017-08-14,2017-09-14,,,,,,,,,,,,,,,
ICOBox (ICOS),2017-08-14,2017-09-14,,,,,,,,,,,,,,,
Smart Investment Fund Token (SIFT),2017-07-31,2017-09-14,,,,,,,,,,,,,,,
Social (SCL),2017-08-16,2017-09-14,,,,,,,,,,,,,,,
ZeroTraffic (ZTT),2017-08-13,2017-09-14,,,,,,,,,,,,,,,
Propy (PRO),2017-08-14,2017-09-13,,,,,,,,,,,,,,,
Blackmoon Crypto (BMC),2017-09-11,2017-09-12,,,,,,,,,,,,,,,
s3entigrapH (GRAPH),2017-08-13,2017-09-12,,,,,,,,,,,,,,,
Aventus (AVT),2017-09-05,2017-09-11,,,,,,,,,,,,,,,
Enigma Catalyst (ECAT),2017-09-10,2017-09-11,,,,,,,,,,,,,,,
Filecoin (FIL),2017-08-09,2017-09-09,,,,,,,,,,,,,,,
Substratum (SUB),2017-08-06,2017-09-06,,,,,,,,,,,,,,,
Po.et (POE),2017-08-07,2017-09-04,,,,,,,,,,,,,,,
ChronoLogic (DAY),2017-08-27,2017-09-03,,,,,,,,,,,,,,,
TargetCoin (TGT),2017-07-14,2017-08-30,,,,,,,,,,,,,,,
XPLAY (XPA),2017-08-06,2017-08-30,,,,,,,,,,,,,,,
BitBounce (CREDO),2017-07-25,2017-08-29,,,,,,,,,,,,,,,
Dimcoin (DIM),2017-06-30,2017-08-27,,,,,,,,,,,,,,,
Decentraland (MANA),2017-08-17,2017-08-17,,,,,,,,,,,,,,,
Tierion (TNT),2017-07-26,2017-08-17,,,,,,,,,,,,,,,
Agrello (DLT),2017-07-15,2017-08-16,,,,,,,,,,,,,,,
0x (ZRX),2017-08-14,2017-08-15,,,,,,,,,,,,,,,
Populous (PPT),2017-07-15,2017-08-15,,,,,,,,,,,,,,,
BlockCAT (CAT),2017-07-14,2017-08-13,,,,,,,,,,,,,,,
Hive Project (HVN),2017-07-02,2017-08-13,,,,,,,,,,,,,,,
Stox (STX),2017-07-26,2017-08-09,,,,,,,,,,,,,,,
ACT (ACT),2017-07-17,2017-07-31,,,,,,,,,,,,,,,
BitClave – presale (CAT),2017-07-24,2017-07-31,,,,,,,,,,,,,,,
district0x Network (DNT),2017-07-17,2017-07-31,,,,,,,,,,,,,,,
Giga Watt (WTT),2017-06-01,2017-07-30,,,,,,,,,,,,,,,
Blocktix (TIX),2017-07-06,2017-07-27,,,,,,,,,,,,,,,
TrueFlip (TFL),2017-06-27,2017-07-27,,,,,,,,,,,,,,,
Dao.Casino (BET),2017-06-28,2017-07-25,,,,,,,,,,,,,,,
Primalbase (PBT),2017-06-25,2017-07-25,,,,,,,,,,,,,,,
CoinDash (CDT),2017-07-16,2017-07-16,,,,,,,,,,,,,,,
Pillar (PLR),2017-07-14,2017-07-16,,,,,,,,,,,,,,,
SONM (SNM),2017-06-14,2017-07-14,,,,,,,,,,,,,,,
InsureX (IXT),2017-07-10,2017-07-12,,,,,,,,,,,,,,,
Tezos (XTZ),2017-06-30,2017-07-12,,,,,,,,,,,,,,,
Nimiq (NET),2017-06-27,2017-07-11,,,,,,,,,,,,,,,
Polybius (PLBT),2017-05-30,2017-07-04,,,,,,,,,,,,,,,
Santiment (SAN),2017-07-03,2017-07-03,,,,,,,,,,,,,,,
Starta (STA),2017-07-03,2017-07-03,,,,,,,,,,,,,,,
OpenANX (OAX),2017-06-21,2017-07-02,,,,,,,,,,,,,,,
EncryptoTel (ETT),2017-04-23,2017-06-30,,,,,,,,,,,,,,,
Stremio Adex (ADX),2017-06-29,2017-06-29,,,,,,,,,,,,,,,
Air (XID),2017-05-31,2017-06-28,,,,,,,,,,,,,,,
DCORP (DRP),2017-05-31,2017-06-28,,,,,,,,,,,,,,,
21 Million (21M),2017-06-11,2017-06-27,,,,,,,,,,,,,,,
OmiseGO (OMG),2017-06-26,2017-06-26,,,,,,,,,,,,,,,
NVO (NVO),2017-05-22,2017-06-24,,,,,,,,,,,,,,,
Wagerr (WGR),2017-05-31,2017-06-24,,,,,,,,,,,,,,,
TenX (PAY),2017-06-23,2017-06-23,,,,,,,,,,,,,,,
Civic (CVC),2017-06-20,2017-06-21,,,,,,,,,,,,,,,
Status (SNT),2017-06-16,2017-06-20,,,,,,,,,,,,,,,
Monaco (MCO),2017-05-17,2017-06-17,,,,,,,,,,,,,,,
Bancor Protocol (BANCOR),2017-06-11,2017-06-11,,,,,,,,,,,,,,,
Aeternity 2 (XAE),2017-05-28,2017-06-08,,,,,,,,,,,,,,,
Zrcoin (ZRC),2017-05-10,2017-06-08,,,,,,,,,,,,,,,
Cofound.it (CFI),2017-06-03,2017-06-05,,,,,,,,,,,,,,,
Patientory (PTOY),2017-05-30,2017-06-02,,,,,,,,,,,,,,,
Basic Attention Token (BAT),2017-05-30,2017-05-30,,,,,,,,,,,,,,,
Exscudo (EON),2017-04-24,2017-05-30,,,,,,,,,,,,,,,
Mysterium Network (MYST),2017-05-29,2017-05-29,,,,,,,,,,,,,,,
Veritaseum (VER),2017-04-24,2017-05-25,,,,,,,,,,,,,,,
MobileGo (MOBILEGO),2017-04-24,2017-05-24,,,,,,,,,,,,,,,
Storj (STORJ),2017-05-18,2017-05-24,,,,,,,,,,,,,,,
Aragon (ANT),2017-05-16,2017-05-16,,,,,,,,,,,,,,,
BitcoinGrowthFund (MCAP),2017-04-26,2017-05-16,,,,,,,,,,,,,,,
BOScoin (BOS),2017-05-08,2017-05-09,,,,,,,,,,,,,,,
Nexxus (NXX),2017-05-07,2017-05-07,,,,,,,,,,,,,,,
Quantum Resistant Ledger (QRL),2017-04-30,2017-05-06,,,,,,,,,,,,,,,
TokenCard (TKN),2017-05-01,2017-05-01,,,,,,,,,,,,,,,
Humaniq (HMQ),2017-04-05,2017-04-26,,,,,,,,,,,,,,,
TaaS (TAAS),2017-03-26,2017-04-26,,,,,,,,,,,,,,,
Gnosis (GNO),2017-04-23,2017-04-23,,,,,,,,,,,,,,,
IEX.EC (RLC),2017-04-18,2017-04-18,,,,,,,,,,,,,,,
Rchain (RCOIN),2017-04-04,2017-04-15,,,,,,,,,,,,,,,
WeTrust (TRST),2017-03-02,2017-04-11,,,,,,,,,,,,,,,
Blockchain Capital (BCAP),2017-04-09,2017-04-09,,,,,,,,,,,,,,,
MetaGold (MEG),2017-04-02,2017-04-07,,,,,,,,,,,,,,,
Aeternity 1 (XAE),2017-04-02,2017-04-05,,,,,,,,,,,,,,,
Cosmos Network (ATOM),2017-04-05,2017-04-05,,,,,,,,,,,,,,,
Matchpool (GUP),2017-04-01,2017-04-02,,,,,,,,,,,,,,,
AKM GLOBAL (AKM),2017-09-29,2017-03-31,,,,,,,,,,,,,,,
Qtum (QTUM),2017-03-15,2017-03-20,,,,,,,,,,,,,,,
Safe Haven (SHA),2017-12-10,2017-03-14,,,,,,,,,,,,,,,
Dogezer (DGZ),2018-01-15,2017-03-08,,,,,,,,,,,,,,,
Utemis (UTS),2017-01-08,2017-03-08,,,,,,,,,,,,,,,
Augmentors (DBT),2017-01-31,2017-03-01,,,,,,,,,,,,,,,
Lykke (Lykke),2017-02-09,2017-02-28,,,,,,,,,,,,,,,
VentureOn (VNN),2017-10-31,2017-02-26,,,,,,,,,,,,,,,
Vesa (VSA),2017-12-20,2018-02-28,,,"$85,291,962.00",,,,,,No,$2.56,,,,,
Melon (MLN),2017-02-15,2017-02-15,,,"$2,900,000.00",,,,"Token, Investment System",,Yes,$189.70,"$771,632.00","$113,706,779.00",79.98%,,
Chronobank (LH),2016-12-15,2017-02-14,,,"$5,400,000.00",,,,"Token, Recruitment System",,Yes,$31.07,"$208,412.00","$22,062,637.00","710,113 TIME",,
Ril Coin (RIL),2017-10-31,2017-02-14,,,,,,,,,,,,,,,
Dfinity (DFN),2017-02-11,2017-02-12,,,"$3,750,000.00",,,,Cloud Platform,,No,,,,,,
DARFchain (DARF),2017-10-31,2017-01-30,,,,,,,,,,,,,,,
AdMine (MCN),2017-12-18,2017-01-19,,,,,,,,,,,,,,,
KeepPet (PET),2017-12-31,2017-01-15,,,,,,,,,,,,,,,
Wings (WINGS),2016-11-18,2017-01-06,,,2.07,,,,Token,,Yes,1.09,"$4,323,400.00","$97,482,457.00",89.71%,,
vDice (vSlice),2016-11-15,2016-12-15,,,1.65,,,,Web App,,No,,,,,,
Ark (ARK),2016-11-07,2016-12-11,,,1,,,,Coin,,Yes,$6.70,"$4,840,480.00","$656,078,758.00",74.64%,,
Komodo (KMD),2016-10-14,2016-11-20,,,1.98,,,,Coin,,Yes,$7.09,"$5,756,310.00","$733,178,600.00",,,
Golem (GNT),2016-11-11,2016-11-11,,,8.6,,,,Token,,Yes,$0.59,"$9,344,090.00","$493,256,573.00",83.43%,,
,,,,,,,,,,,,,,,,,
Internxt,,,,,,,,,,,,,,,,,
Solomon Exchange,,,,,,,,,,,,,,,,,
Hackspace Capital,,,,,,,,,,,,,,,,,
Impak Finance,,,,,,,,,,,,,,,,,
Modum.io,,,,,,,,,,,,,,,,,
DetectorToken,,,,,,,,,,,,,,,,,
SilentNotary,,,,,,,,,,,,,,,,,
Intelligent Trading Tech,,,,,,,,,,,,,,,,,
KyberNetwork,,,,,,,,,,,,,,,,,
KICKICO,,,,,,,,,,,,,,,,,
ATB Coin,,,,,,,,,,,,,,,,,
Smart Investment Fund Token,,,,,,,,,,,,,,,,,
Trackr,,,,,,,,,,,,,,,,,
Propy,,,,,,,,,,,,,,,,,
FaceCoin,,,,,,,,,,,,,,,,,
ICObox,,,,,,,,,,,,,,,,,
Social(SCL),,,,,,,,,,,,,,,,,
BitDice,,,,,,,,,,,,,,,,,
Aventus,,,,,,,,,,,,,,,,,
Enigma Catalyst,,,,,,,,,,,,,,,,,
Ahoolee,,,,,,,,,,,,,,,,,
StuffGoGo,,,,,,,,,,,,,,,,,
Prospector,,,,,,,,,,,,,,,,,
Rivetz,,,,,,,,,,,,,,,,,
OneGram,,,,,,,,,,,,,,,,,
Filecoin,,,,,,,,,,,,,,,,,
fujinto,,,,,,,,,,,,,,,,,
Alpen Coin,,,,,,,,,,,,,,,,,
Hubii,,,,,,,,,,,,,,,,,
Revain,,,,,,,,,,,,,,,,,
Substratum,,,,,,,,,,,,,,,,,
WorldWide Anonymous Messaging,,,,,,,,,,,,,,,,,
COSS,,,,,,,,,,,,,,,,,
Indorse,,,,,,,,,,,,,,,,,
Viberate,,,,,,,,,,,,,,,,,
FinShi Capital,,,,,,,,,,,,,,,,,
Moeda,,,,,,,,,,,,,,,,,
ATB Coin,,,,,,,,,,,,,,,,,
XPlay,,,,,,,,,,,,,,,,,
DMarket,,,,,,,,,,,,,,,,,
Corion,,,,,,,,,,,,,,,,,
DimCoin,,,,,,,,,,,,,,,,,
Opus,,,,,,,,,,,,,,,,,
Paquarium,,,,,,,,,,,,,,,,,
Agrello,,,,,,,,,,,,,,,,,
Tierion,,,,,,,,,,,,,,,,,
Blocktix,,,,,,,,,,,,,,,,,
MonsterByte,,,,,,,,,,,,,,,,,
CoinDash,,,,,,,,,,,,,,,,,
district0x Network,,,,,,,,,,,,,,,,,
SunContract,,,,,,,,,,,,,,,,,
FundYourselfNow,,,,,,,,,,,,,,,,,
Giga Watt Token,,,,,,,,,,,,,,,,,
Blocktix,,,,,,,,,,,,,,,,,
RootProject,,,,,,,,,,,,,,,,,
TrueFlip,,,,,,,,,,,,,,,,,
GeoFounders,,,,,,,,,,,,,,,,,
Primalbase,,,,,,,,,,,,,,,,,
Dent,,,,,,,,,,,,,,,,,
Eros,,,,,,,,,,,,,,,,,
SkinCoin,,,,,,,,,,,,,,,,,
Gilgam,,,,,,,,,,,,,,,,,
Gilgam.es,,,,,,,,,,,,,,,,,
Pillar,,,,,,,,,,,,,,,,,
CoinDash,,,,,,,,,,,,,,,,,
Sumerchain,,,,,,,,,,,,,,,,,
Mothership,,,,,,,,,,,,,,,,,
Bitquence,,,,,,,,,,,,,,,,,
PressOne,,,,,,,,,,,,,,,,,
SONM,,,,,,,,,,,,,,,,,
Orocrypt,,,,,,,,,,,,,,,,,
Fuck,,,,,,,,,,,,,,,,,
Tezos,,,,,,,,,,,,,,,,,
InsureX,,,,,,,,,,,,,,,,,
Nimiq,,,,,,,,,,,,,,,,,
ATBcoin,,,,,,,,,,,,,,,,,
LeviarCoin,,,,,,,,,,,,,,,,,
OnPlace,,,,,,,,,,,,,,,,,
Polybius,,,,,,,,,,,,,,,,,
Santiment,,,,,,,,,,,,,,,,,
OpenANX,,,,,,,,,,,,,,,,,
Rialto,,,,,,,,,,,,,,,,,
Starta,,,,,,,,,,,,,,,,,
CrypViser,,,,,,,,,,,,,,,,,
Rialto.AI,,,,,,,,,,,,,,,,,
EncryptoTel,,,,,,,,,,,,,,,,,
AdEx,,,,,,,,,,,,,,,,,
BlockPool,,,,,,,,,,,,,,,,,
DCORP,,,,,,,,,,,,,,,,,
Air,,,,,,,,,,,,,,,,,
21 Million,,,,,,,,,,,,,,,,,
SilverCoin,,,,,,,,,,,,,,,,,
iDice,,,,,,,,,,,,,,,,,
Octanox,,,,,,,,,,,,,,,,,
Wagerr,,,,,,,,,,,,,,,,,
CryptoPing,,,,,,,,,,,,,,,,,
NVO,,,,,,,,,,,,,,,,,
TenX,,,,,,,,,,,,,,,,,
MaskNetwork,,,,,,,,,,,,,,,,,
OmiseGO,,,,,,,,,,,,,,,,,
FootballCoin,,,,,,,,,,,,,,,,,
Civic,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,
Internet of Coins,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,
BidLend,,,,,,,,,,,,,,,,,
Minexcoin,,,,,,,,,,,,,,,,,
SuperDAO,,,,,,,,,,,,,,,,,
Bancor,,,,,,,,,,,,,,,,,
Aira,,,,,,,,,,,,,,,,,
Zrcoin,,,,,,,,,,,,,,,,,
EcoBit,,,,,,,,,,,,,,,,,
Cofound.it,,,,,,,,,,,,,,,,,
VOISE,,,,,,,,,,,,,,,,,
Patientory,,,,,,,,,,,,,,,,,
Embermine,,,,,,,,,,,,,,,,,
Adel,,,,,,,,,,,,,,,,,
Basic Attention Token,,,,,,,,,,,,,,,,,
Exscudo,,,,,,,,,,,,,,,,,
Mysterium Network,,,,,,,,,,,,,,,,,
Suretly,,,,,,,,,,,,,,,,,
Veritaseum,,,,,,,,,,,,,,,,,
Metal,,,,,,,,,,,,,,,,,
MobileGo,,,,,,,,,,,,,,,,,
Storj,,,,,,,,,,,,,,,,,
E4ROW,,,,,,,,,,,,,,,,,
Viva Coin,,,,,,,,,,,,,,,,,
Aragon,,,,,,,,,,,,,,,,,
BitcoinGrowthFund,,,,,,,,,,,,,,,,,
Peerplays,,,,,,,,,,,,,,,,,
Ethbits,,,,,,,,,,,,,,,,,
Legends Room,,,,,,,,,,,,,,,,,
BOScoin,,,,,,,,,,,,,,,,,
Nexxus,,,,,,,,,,,,,,,,,
Quantum Resistant Ledger,,,,,,,,,,,,,,,,,
TokenCard,,,,,,,,,,,,,,,,,
Creativechain,,,,,,,,,,,,,,,,,
Apptrade,,,,,,,,,,,,,,,,,
Lunyr,,,,,,,,,,,,,,,,,
Back to Earth,,,,,,,,,,,,,,,,,
TaaS,,,,,,,,,,,,,,,,,
Humaniq,,,,,,,,,,,,,,,,,
Gnosis,,,,,,,,,,,,,,,,,
IEX.EC,,,,,,,,,,,,,,,,,
WeTrust,,,,,,,,,,,,,,,,,
Blockchain Capital,,,,,,,,,,,,,,,,,
Aeternity,,,,,,,,,,,,,,,,,
Cosmos Network,,,,,,,,,,,,,,,,,
Cosmos,,,,,,,,,,,,,,,,,
Matchpool,,,,,,,,,,,,,,,,,
Equibit,,,,,,,,,,,,,,,,,
Chain of Points,,,,,,,,,,,,,,,,,
CashScripter,,,,,,,,,,,,,,,,,
Qtum,,,,,,,,,,,,,,,,,
Edgeless,,,,,,,,,,,,,,,,,
Lykke,,,,,,,,,,,,,,,,,
Augmentors,,,,,,,,,,,,,,,,,
Lykke (2nd round),,,,,,,,,,,,,,,,,
Contingency,,,,,,,,,,,,,,,,,
Etheroll,,,,,,,,,,,,,,,,,
Melon,,,,,,,,,,,,,,,,,
Chronobank,,,,,,,,,,,,,,,,,
Dfinity,,,,,,,,,,,,,,,,,
Tokes,,,,,,,,,,,,,,,,,
Wings,,,,,,,,,,,,,,,,,
BetKing,,,,,,,,,,,,,,,,,
Darcrus,,,,,,,,,,,,,,,,,
BlockCDN,,,,,,,,,,,,,,,,,
Ether.camp,,,,,,,,,,,,,,,,,
Virtual Accelerator,,,,,,,,,,,,,,,,,
Mysterium (1st round),,,,,,,,,,,,,,,,,
vDice,,,,,,,,,,,,,,,,,
Ark,,,,,,,,,,,,,,,,,
Golos,,,,,,,,,,,,,,,,,
Incent,,,,,,,,,,,,,,,,,
Beyond the Void,,,,,,,,,,,,,,,,,
MassNetwork,,,,,,,,,,,,,,,,,
Arcade City,,,,,,,,,,,,,,,,,
ETCWin,,,,,,,,,,,,,,,,,
Komodo,,,,,,,,,,,,,,,,,
Golem,,,,,,,,,,,,,,,,,
Kibo Lotto,,,,,,,,,,,,,,,,,
Decent,,,,,,,,,,,,,,,,,
Synereo,,,,,,,,,,,,,,,,,
Lykke (1st round),,,,,,,,,,,,,,,,,
SingularDTV,,,,,,,,,,,,,,,,,
Iconomi,,,,,,,,,,,,,,,,,
First Blood,,,,,,,,,,,,,,,,,
Antshares,,,,,,,,,,,,,,,,,
Metaverse,,,,,,,,,,,,,,,,,
BlockPay,,,,,,,,,,,,,,,,,
Elastic,,,,,,,,,,,,,,,,,
HEAT,,,,,,,,,,,,,,,,,
Icoo,,,,,,,,,,,,,,,,,
Xaurum,,,,,,,,,,,,,,,,,
Stratis,,,,,,,,,,,,,,,,,
Breakout Coin,,,,,,,,,,,,,,,,,
Waves,,,,,,,,,,,,,,,,,
Rise,,,,,,,,,,,,,,,,,
Plutus,,,,,,,,,,,,,,,,,
Mycelium  (2nd round),,,,,,,,,,,,,,,,,
The DAO,,,,,,,,,,,,,,,,,
Project Decorum,,,,,,,,,,,,,,,,,
Ionomy,,,,,,,,,,,,,,,,,
DigixGlobal,,,,,,,,,,,,,,,,,
DigixDAO,,,,,,,,,,,,,,,,,
Lisk,,,,,,,,,,,,,,,,,
Obits,,,,,,,,,,,,,,,,,
Iota,,,,,,,,,,,,,,,,,
Augur,,,,,,,,,,,,,,,,,
Spells of Genesis,,,,,,,,,,,,,,,,,
Factom,,,,,,,,,,,,,,,,,
NeuCoin,,,,,,,,,,,,,,,,,
DacPlay,,,,,,,,,,,,,,,,,
GetGems,,,,,,,,,,,,,,,,,
MUSE,,,,,,,,,,,,,,,,,
SuperNET,,,,,,,,,,,,,,,,,
Ethereum,,,,,,,,,,,,,,,,,
Storjcoin X,,,,,,,,,,,,,,,,,
Swarm,,,,,,,,,,,,,,,,,
MaidSafeCoin,,,,,,,,,,,,,,,,,
Counterparty,,,,,,,,,,,,,,,,,
